date,open,high,low,close,volume
1/29/1993,24.4502,24.4502,24.3286,24.4328,1003200
2/1/1993,24.4502,24.6066,24.4502,24.6066,480500
2/2/1993,24.5892,24.6761,24.5371,24.6587,201300
2/3/1993,24.6935,24.9368,24.6761,24.9194,529400
2/4/1993,25.0063,25.0758,24.7282,25.0237,531500
2/5/1993,25.0063,25.0584,24.8673,25.0063,492100
2/8/1993,25.0063,25.0932,24.9715,25.0063,596100
2/9/1993,24.9194,24.9194,24.7804,24.8325,122100
2/10/1993,24.8325,24.8847,24.763,24.8673,379600
2/11/1993,24.902,25.0932,24.902,24.9889,19500
2/12/1993,24.9542,24.9542,24.7977,24.7977,42500
2/16/1993,24.7282,24.7282,24.1374,24.1722,374800
2/17/1993,24.1722,24.2069,24.0679,24.1548,210900
2/18/1993,24.4328,24.4328,23.8073,24.1374,378100
2/19/1993,24.1374,24.2243,24.1026,24.2243,34900
2/22/1993,24.2938,24.3459,24.2243,24.3112,513600
2/23/1993,24.3807,24.3981,24.1722,24.2938,373700
2/24/1993,24.3112,24.6066,24.3112,24.6066,26300
2/25/1993,24.5892,24.6761,24.5371,24.6587,44500
2/26/1993,24.7109,24.7109,24.5719,24.6935,66200
3/1/1993,24.7804,24.7804,24.5892,24.624,66500
3/2/1993,24.6414,24.9889,24.6066,24.9889,182400
3/3/1993,25.0237,25.1105,24.9889,25.0932,280100
3/4/1993,25.1279,25.1279,24.9542,24.9542,89500
3/5/1993,24.9889,25.0932,24.8673,24.8847,40000
3/8/1993,24.9368,25.4407,24.9368,25.4407,50800
3/9/1993,25.3886,25.406,25.3017,25.3538,169300
3/10/1993,25.3538,25.406,25.2496,25.406,194400
3/11/1993,25.4233,25.4928,25.3017,25.3365,70900
3/12/1993,25.1279,25.1453,24.9194,25.0758,643600
3/15/1993,25.0584,25.1975,25.0584,25.1975,310800
3/16/1993,25.1975,25.267,25.1975,25.1975,30800
3/17/1993,25.1627,25.1627,25.0063,25.041,21800
3/18/1993,25.1453,25.3017,25.1453,25.1975,59300
3/19/1993,25.2992,25.2992,25.1595,25.1595,66900
3/22/1993,24.915,25.0722,24.8976,25.0198,183400
3/23/1993,25.0896,25.1071,25.0373,25.0722,55200
3/24/1993,25.0373,25.177,24.915,25.0722,37200
3/25/1993,25.0896,25.2817,25.0547,25.2293,110100
3/26/1993,25.2119,25.2293,25.0722,25.0896,101500
3/29/1993,25.1071,25.3166,25.1071,25.1944,87100
3/30/1993,25.2293,25.2642,25.1944,25.2642,56000
3/31/1993,25.3341,25.4039,25.2468,25.2468,111600
4/1/1993,25.2817,25.2817,25.1071,25.1595,129500
